,Age,Embarked_C,Embarked_Q,Embarked_S,Fare,Parch,PassengerId,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,SibSp,Survived
8,3.0,False,False,True,11.1333,0,9,True,False,False,False,True,1,0
14,45.0,False,False,True,7.8542,4,15,False,True,False,False,True,8,1
27,61.0,False,False,True,263.0,5,28,False,True,False,True,False,0,1
30,34.5,True,False,False,27.7208,2,31,False,False,True,True,False,5,1
31,23.5,True,False,False,146.5208,2,32,False,True,False,False,True,2,0
34,59.0,True,False,False,82.1708,2,35,False,False,True,True,False,2,1
55,55.0,False,False,True,35.5,1,56,False,True,False,True,False,8,0
60,7.0,True,False,False,7.2292,3,61,False,True,False,True,False,2,1
77,61.0,False,False,True,8.05,2,78,True,False,False,True,False,8,1
97,23.0,True,False,False,63.3583,1,98,True,False,False,False,True,0,1
141,22.0,False,False,True,7.75,0,142,False,False,True,True,False,0,1
144,18.0,False,False,True,11.5,0,145,False,True,False,False,True,0,0
145,19.0,False,False,True,36.75,1,146,False,True,False,False,True,1,0
200,28.0,False,False,True,9.5,0,201,False,False,True,False,True,0,0
202,34.0,False,False,True,6.4958,0,203,False,False,True,False,True,0,0
230,35.0,False,False,True,83.475,0,231,True,False,False,True,False,1,1
252,62.0,False,False,True,26.55,0,253,True,False,False,False,True,0,0
255,29.0,True,False,False,15.2458,2,256,False,False,True,True,False,0,1
262,52.0,False,False,True,79.65,1,263,True,False,False,False,True,1,0
278,7.0,False,True,False,29.125,1,279,False,False,True,False,True,4,0
285,33.0,True,False,False,8.6625,0,286,False,False,True,False,True,0,0
310,24.0,True,False,False,83.1583,0,311,True,False,False,True,False,0,1
311,18.0,True,False,False,262.375,2,312,True,False,False,True,False,2,1
312,26.0,False,False,True,26.0,1,313,False,True,False,True,False,1,0
316,24.0,False,False,True,26.0,0,317,False,True,False,True,False,1,1
317,54.0,False,False,True,14.0,0,318,False,True,False,False,True,0,0
318,31.0,False,False,True,164.8667,2,319,True,False,False,True,False,0,1
319,40.0,True,False,False,134.5,1,320,True,False,False,True,False,1,1
346,40.0,False,False,True,13.0,0,347,False,True,False,True,False,0,1
350,23.0,False,False,True,9.225,0,351,False,False,True,False,True,0,0
380,42.0,True,False,False,227.525,0,381,True,False,False,True,False,0,1
397,46.0,False,False,True,26.0,0,398,False,True,False,False,True,0,0
458,50.0,False,False,True,10.5,0,459,False,True,False,True,False,0,1
474,22.0,False,False,True,9.8375,0,475,False,False,True,True,False,0,0
477,29.0,False,False,True,7.0458,0,478,False,False,True,False,True,1,0
483,63.0,False,False,True,9.5875,0,484,False,False,True,True,False,0,1
484,25.0,True,False,False,91.0792,0,485,True,False,False,False,True,1,1
489,9.0,False,False,True,15.9,1,490,False,False,True,False,True,1,1
496,54.0,True,False,False,78.2667,0,497,True,False,False,True,False,1,1
516,34.0,False,False,True,10.5,0,517,False,True,False,True,False,0,1
519,32.0,False,False,True,7.8958,0,520,False,False,True,False,True,0,0
530,2.0,False,False,True,26.0,1,531,False,True,False,True,False,1,1
535,7.0,False,False,True,26.25,2,536,False,True,False,True,False,0,1
542,11.0,False,False,True,31.275,2,543,False,False,True,True,False,4,0
566,19.0,False,False,True,7.8958,0,567,False,False,True,False,True,0,0
567,29.0,False,False,True,21.075,4,568,False,False,True,True,False,0,0
587,60.0,True,False,False,79.2,1,588,True,False,False,False,True,1,1
609,40.0,False,False,True,153.4625,0,610,True,False,False,True,False,0,1
614,35.0,False,False,True,8.05,0,615,False,False,True,False,True,0,0
627,21.0,False,False,True,77.9583,0,628,True,False,False,True,False,0,1
632,32.0,True,False,False,30.5,0,633,True,False,False,False,True,0,1
642,2.0,False,False,True,27.9,2,643,False,False,True,True,False,3,0
655,24.0,False,False,True,73.5,0,656,False,True,False,False,True,2,0
666,25.0,False,False,True,13.0,0,667,False,True,False,False,True,0,0
676,24.5,False,False,True,8.05,0,677,False,False,True,False,True,0,0
686,14.0,False,False,True,39.6875,1,687,False,False,True,False,True,4,0
693,25.0,True,False,False,7.225,0,694,False,False,True,False,True,0,0
704,26.0,False,False,True,7.8542,0,705,False,False,True,False,True,1,0
708,22.0,False,False,True,151.55,0,709,True,False,False,True,False,0,1
712,48.0,False,False,True,52.0,0,713,True,False,False,False,True,1,1
726,30.0,False,False,True,21.0,0,727,False,True,False,True,False,3,1
750,4.0,False,False,True,23.0,1,751,False,True,False,True,False,1,1
764,16.0,False,False,True,7.775,0,765,False,False,True,False,True,0,0
796,49.0,False,False,True,25.9292,0,797,True,False,False,True,False,0,1
803,0.42,True,False,False,8.5167,1,804,False,False,True,False,True,0,1
808,39.0,False,False,True,13.0,0,809,False,True,False,False,True,0,0
818,43.0,False,False,True,6.45,0,819,False,False,True,False,True,0,0
819,10.0,False,False,True,27.9,2,820,False,False,True,False,True,3,0
848,28.0,False,False,True,33.0,1,849,False,True,False,False,True,0,0
880,25.0,False,False,True,26.0,1,881,False,True,False,True,False,0,1
883,28.0,False,False,True,10.5,0,884,False,True,False,False,True,0,0
887,19.0,False,False,True,30.0,0,888,True,False,False,True,False,0,1
890,32.0,False,True,False,7.75,0,891,False,False,True,False,True,0,0
,Age,Embarked_C,Embarked_Q,Embarked_S,Fare,Parch,PassengerId,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,SibSp,Survived
8,3.0,False,False,True,11.1333,0,9,True,False,False,False,True,1,0
14,45.0,False,False,True,7.8542,4,15,False,True,False,False,True,8,1
27,61.0,False,False,True,263.0,5,28,False,True,False,True,False,0,1
30,34.5,True,False,False,27.7208,2,31,False,False,True,True,False,5,1
31,23.5,True,False,False,146.5208,2,32,False,True,False,False,True,2,0
34,59.0,True,False,False,82.1708,2,35,False,False,True,True,False,2,1
55,55.0,False,False,True,35.5,1,56,False,True,False,True,False,8,0
60,7.0,True,False,False,7.2292,3,61,False,True,False,True,False,2,1
77,61.0,False,False,True,8.05,2,78,True,False,False,True,False,8,1
97,23.0,True,False,False,63.3583,1,98,True,False,False,False,True,0,1
141,22.0,False,False,True,7.75,0,142,False,False,True,True,False,0,1
144,18.0,False,False,True,11.5,0,145,False,True,False,False,True,0,0
145,19.0,False,False,True,36.75,1,146,False,True,False,False,True,1,0
200,28.0,False,False,True,9.5,0,201,False,False,True,False,True,0,0
202,34.0,False,False,True,6.4958,0,203,False,False,True,False,True,0,0
230,35.0,False,False,True,83.475,0,231,True,False,False,True,False,1,1
252,62.0,False,False,True,26.55,0,253,True,False,False,False,True,0,0
255,29.0,True,False,False,15.2458,2,256,False,False,True,True,False,0,1
262,52.0,False,False,True,79.65,1,263,True,False,False,False,True,1,0
278,7.0,False,True,False,29.125,1,279,False,False,True,False,True,4,0
285,33.0,True,False,False,8.6625,0,286,False,False,True,False,True,0,0
310,24.0,True,False,False,83.1583,0,311,True,False,False,True,False,0,1
311,18.0,True,False,False,262.375,2,312,True,False,False,True,False,2,1
312,26.0,False,False,True,26.0,1,313,False,True,False,True,False,1,0
316,24.0,False,False,True,26.0,0,317,False,True,False,True,False,1,1
317,54.0,False,False,True,14.0,0,318,False,True,False,False,True,0,0
318,31.0,False,False,True,164.8667,2,319,True,False,False,True,False,0,1
319,40.0,True,False,False,134.5,1,320,True,False,False,True,False,1,1
346,40.0,False,False,True,13.0,0,347,False,True,False,True,False,0,1
350,23.0,False,False,True,9.225,0,351,False,False,True,False,True,0,0
380,42.0,True,False,False,227.525,0,381,True,False,False,True,False,0,1
397,46.0,False,False,True,26.0,0,398,False,True,False,False,True,0,0
458,50.0,False,False,True,10.5,0,459,False,True,False,True,False,0,1
474,22.0,False,False,True,9.8375,0,475,False,False,True,True,False,0,0
477,29.0,False,False,True,7.0458,0,478,False,False,True,False,True,1,0
483,63.0,False,False,True,9.5875,0,484,False,False,True,True,False,0,1
484,25.0,True,False,False,91.0792,0,485,True,False,False,False,True,1,1
489,9.0,False,False,True,15.9,1,490,False,False,True,False,True,1,1
496,54.0,True,False,False,78.2667,0,497,True,False,False,True,False,1,1
516,34.0,False,False,True,10.5,0,517,False,True,False,True,False,0,1
