,age,checking__check_high,checking__check_low,checking__check_mid,checking__check_none,credit_amount,credit_history__debt_critical,credit_history__debt_delay,credit_history__debt_none,credit_history__debt_noneBank,credit_history__debt_onSchedule,dependants,duration,employment__emp_lessFour,employment__emp_lessOne,employment__emp_lessSeven,employment__emp_moreSeven,employment__emp_unemployed,foreigner,housing__hous_free,housing__hous_own,housing__hous_rent,inst_rate,job__job_highSkill,job__job_skilled,job__job_unskilledNR,job__job_unskilledR,label,num_credits,other_debtors__debtor_coApp,other_debtors__debtor_guarantor,other_debtors__debtor_none,other_inst__oi_bank,other_inst__oi_none,other_inst__oi_stores,phone,property__prop_agreement,property__prop_car,property__prop_none,property__prop_realEstate,purpose__pur_appliance,purpose__pur_business,purpose__pur_education,purpose__pur_furniture,purpose__pur_newCar,purpose__pur_other,purpose__pur_repairs,purpose__pur_retraining,purpose__pur_tv,purpose__pur_usedCar,residence_time,savings__sav_large,savings__sav_medium,savings__sav_none,savings__sav_small,savings__sav_xlarge,status
5,35,False,False,False,True,9055,False,False,False,False,True,2,36,True,False,False,False,False,1,True,False,False,2,False,False,False,True,1,1,False,False,True,False,True,False,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,4,False,False,True,False,False,single
23,44,False,False,True,False,1804,True,False,False,False,False,1,12,False,True,False,False,False,1,False,True,False,3,False,True,False,False,1,1,False,False,True,False,True,False,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,4,False,True,False,False,False,single
25,36,False,True,False,False,1374,False,False,False,False,True,1,6,True,False,False,False,False,1,False,True,False,1,False,False,False,True,1,1,False,False,True,True,False,False,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,2,False,False,False,True,False,single
28,34,False,False,True,False,2415,False,False,False,False,True,1,7,True,False,False,False,False,1,False,True,False,3,False,True,False,False,1,1,False,True,False,False,True,False,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2,False,False,False,True,False,single
29,63,False,True,False,False,6836,False,True,False,False,False,1,60,False,False,False,True,False,1,False,True,False,3,False,True,False,False,0,2,False,False,True,False,True,False,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,4,False,False,False,True,False,single
40,30,False,False,False,True,2333,False,False,False,False,True,1,30,False,False,False,True,False,1,False,True,False,4,True,False,False,False,1,1,False,False,True,True,False,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2,True,False,False,False,False,single
41,26,False,False,True,False,1158,False,False,False,False,True,1,12,True,False,False,False,False,1,False,True,False,3,False,True,False,False,1,1,False,False,True,False,True,False,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1,True,False,False,False,False,divorced
55,26,False,False,False,True,783,False,False,False,True,False,2,6,True,False,False,False,False,1,False,True,False,1,False,False,False,True,1,1,False,True,False,False,False,True,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,2,False,False,True,False,False,single
81,47,False,False,False,True,1213,False,False,False,False,True,1,15,False,False,False,True,False,1,False,True,False,4,False,True,False,False,1,1,False,False,True,False,False,True,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,3,True,False,False,False,False,single
82,24,False,False,False,True,1568,False,False,False,False,True,1,18,True,False,False,False,False,1,False,False,True,3,False,False,False,True,1,1,False,False,True,False,True,False,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,4,False,True,False,False,False,divorced
90,56,False,False,False,True,618,True,False,False,False,False,1,12,False,False,False,True,False,1,False,True,False,4,False,True,False,False,1,1,False,False,True,False,True,False,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,4,False,False,False,True,False,single
95,58,False,False,True,False,15945,False,False,True,False,False,1,54,False,True,False,False,False,1,False,False,True,3,False,True,False,False,0,1,False,False,True,False,True,False,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,4,False,False,False,True,False,single
107,32,False,False,True,False,6078,False,False,False,False,True,1,12,False,False,True,False,False,1,False,True,False,2,False,True,False,False,1,1,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2,False,False,False,True,False,single
126,40,False,True,False,False,701,False,False,False,False,True,1,12,True,False,False,False,False,1,False,True,False,4,False,False,False,True,1,1,False,False,True,False,True,False,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2,False,False,False,True,False,married
129,29,False,True,False,False,3499,True,False,False,False,False,1,12,True,False,False,False,False,1,False,True,False,3,False,True,False,False,0,2,True,False,False,False,True,False,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,2,False,False,False,True,False,divorced
138,35,False,False,True,False,2728,True,False,False,False,False,1,15,False,False,True,False,False,1,False,True,False,4,False,True,False,False,1,3,False,True,False,True,False,False,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2,False,False,True,False,False,single
143,22,False,True,False,False,2462,False,False,False,False,True,1,18,True,False,False,False,False,1,False,True,False,2,False,True,False,False,0,1,False,False,True,False,True,False,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2,False,False,False,True,False,single
145,30,False,False,True,False,3566,False,False,False,True,False,1,48,False,False,True,False,False,1,False,True,False,4,False,True,False,False,1,1,False,False,True,False,True,False,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2,False,True,False,False,False,single
159,34,False,False,False,True,1898,True,False,False,False,False,2,6,True,False,False,False,False,1,False,True,False,1,False,False,False,True,1,2,False,False,True,False,True,False,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2,False,False,True,False,False,single
179,65,False,True,False,False,571,True,False,False,False,False,1,21,False,False,False,True,False,1,False,True,False,4,False,True,False,False,1,2,False,False,True,False,True,False,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,4,False,False,False,True,False,single
188,20,False,True,False,False,674,False,False,False,False,True,1,12,False,False,True,False,False,1,False,True,False,4,False,True,False,False,0,1,False,False,True,False,True,False,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,False,True,False,False,False,married
194,21,False,False,True,False,3031,False,False,False,False,True,1,45,True,False,False,False,False,1,False,False,True,4,False,True,False,False,0,1,False,True,False,False,True,False,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,4,False,True,False,False,False,single
200,52,False,False,False,True,936,True,False,False,False,False,1,9,False,False,False,True,False,1,False,True,False,4,False,True,False,False,1,2,False,False,True,False,True,False,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,2,True,False,False,False,False,single
214,51,False,False,False,True,3342,True,False,False,False,False,1,36,False,False,False,True,False,1,False,True,False,4,False,True,False,False,1,1,False,False,True,False,True,False,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2,False,False,True,False,False,single
218,24,False,True,False,False,3021,False,False,False,False,True,1,24,True,False,False,False,False,1,False,False,True,2,False,False,False,True,1,1,False,False,True,False,True,False,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,2,False,False,False,True,False,divorced
230,26,True,False,False,False,4210,False,False,False,False,True,1,36,True,False,False,False,False,1,False,True,False,4,False,True,False,False,0,1,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2,False,False,False,True,False,single
234,42,False,False,False,True,1544,True,False,False,False,False,2,4,False,False,True,False,False,1,False,True,False,2,False,False,False,True,1,3,False,False,True,False,True,False,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,False,False,False,True,False,single
238,35,False,False,False,True,1291,True,False,False,False,False,1,12,True,False,False,False,False,1,False,True,False,4,False,True,False,False,1,2,False,False,True,False,True,False,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,False,False,True,False,divorced
243,27,False,False,False,True,1185,True,False,False,False,False,1,12,True,False,False,False,False,1,False,True,False,3,False,True,False,False,1,2,False,False,True,False,True,False,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,2,False,False,False,True,False,divorced
259,57,False,False,False,True,1154,True,False,False,False,False,1,11,False,False,False,False,True,1,False,True,False,4,False,False,False,True,1,3,False,False,True,False,True,False,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,4,False,True,False,False,False,divorced
262,36,False,True,False,False,5302,True,False,False,False,False,1,18,False,False,False,True,False,1,True,False,False,2,True,False,False,False,1,3,False,False,True,False,True,False,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,4,False,False,False,True,False,single
273,28,False,False,True,False,3060,False,False,False,False,True,1,48,False,False,True,False,False,1,False,True,False,4,False,True,False,False,0,2,False,False,True,False,True,False,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,4,False,False,False,True,False,single
284,37,False,False,True,False,3878,True,False,False,False,False,1,24,False,True,False,False,False,1,False,True,False,4,False,True,False,False,1,1,False,False,True,False,True,False,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2,False,True,False,False,False,divorced
297,45,False,False,False,True,1287,False,False,False,False,True,1,10,False,False,False,True,False,0,False,True,False,4,False,False,False,True,1,1,True,False,False,False,True,False,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,2,False,False,True,False,False,single
299,32,False,False,True,False,2745,True,False,False,False,False,1,21,False,False,True,False,False,1,False,True,False,3,False,True,False,False,1,2,False,False,True,False,True,False,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2,False,False,False,False,True,single
300,54,False,False,False,True,672,False,False,False,False,True,1,6,False,False,False,False,True,1,False,True,False,1,False,False,True,False,1,1,False,False,True,False,True,False,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,4,False,False,False,True,False,divorced
316,38,False,True,False,False,708,False,False,False,False,True,2,12,True,False,False,False,False,1,False,True,False,2,False,False,False,True,1,1,False,True,False,False,True,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,3,False,False,False,True,False,single
337,24,False,True,False,False,1275,False,False,False,False,True,1,15,True,False,False,False,False,1,False,False,True,4,False,True,False,False,0,1,False,False,True,False,True,False,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,2,False,False,True,False,False,divorced
361,37,True,False,False,False,3399,False,False,False,False,True,1,12,False,False,False,True,False,1,False,True,False,2,True,False,False,False,1,1,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,3,False,False,True,False,False,single
362,36,True,False,False,False,2247,False,True,False,False,False,1,12,True,False,False,False,False,1,False,True,False,2,False,True,False,False,1,2,False,False,True,False,False,True,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2,False,False,False,True,False,divorced
393,31,False,True,False,False,1957,True,False,False,False,False,1,6,False,False,True,False,False,1,False,True,False,1,False,True,False,False,1,1,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,4,False,False,False,True,False,divorced
394,31,False,False,False,True,2406,True,False,False,False,False,1,9,False,False,False,False,True,1,False,True,False,2,True,False,False,False,1,1,False,False,True,False,True,False,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,3,False,False,False,True,False,single
396,55,False,True,False,False,2578,False,False,False,False,True,1,12,False,False,False,False,True,1,True,False,False,3,True,False,False,False,1,1,False,False,True,False,True,False,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,4,False,False,False,True,False,divorced
422,47,False,False,True,False,958,True,False,False,False,False,2,12,False,False,True,False,False,1,False,True,False,2,False,False,False,True,1,2,False,False,True,False,True,False,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3,False,False,False,True,False,single
429,55,False,True,False,False,1190,True,False,False,False,False,2,18,False,False,False,False,True,1,True,False,False,2,False,False,True,False,0,3,False,False,True,False,True,False,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,4,False,False,False,True,False,divorced
431,29,False,False,True,False,11328,False,False,False,False,True,1,24,True,False,False,False,False,1,False,True,False,2,True,False,False,False,0,2,True,False,False,True,False,False,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,3,False,False,False,True,False,single
451,29,False,False,False,True,518,False,False,False,False,True,1,6,True,False,False,False,False,1,False,True,False,3,False,True,False,False,1,1,False,False,True,False,True,False,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,False,False,False,True,False,divorced
453,35,False,False,False,True,2670,False,False,False,False,True,1,24,False,False,False,True,False,1,False,True,False,4,True,False,False,False,1,1,False,False,True,False,True,False,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,4,False,False,False,True,False,single
467,32,False,False,False,True,7238,False,True,False,False,False,2,48,False,False,False,True,False,1,False,True,False,3,False,True,False,False,1,2,False,False,True,True,False,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,3,False,False,True,False,False,single
475,26,False,True,False,False,3114,False,False,True,False,False,1,18,False,True,False,False,False,1,False,False,True,1,False,True,False,False,0,1,False,False,True,False,True,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,4,False,False,False,True,False,divorced
489,26,False,False,False,True,3518,False,False,False,False,True,1,6,True,False,False,False,False,1,False,False,True,2,False,True,False,False,1,1,False,True,False,False,True,False,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,False,False,False,True,False,single
519,36,False,False,False,True,700,True,False,False,False,False,1,6,False,False,False,True,False,1,True,False,False,4,False,True,False,False,1,2,False,False,True,False,True,False,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,4,False,False,True,False,False,single
541,60,False,False,False,True,2032,False,True,False,False,False,1,24,False,False,False,True,False,1,True,False,False,4,False,True,False,False,1,2,False,False,True,False,True,False,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,4,False,False,False,True,False,single
543,34,True,False,False,False,2864,False,False,False,False,True,2,18,True,False,False,False,False,1,False,True,False,2,False,False,False,True,0,1,False,False,True,False,True,False,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1,False,False,False,True,False,single
557,29,False,False,False,True,5003,False,False,True,False,False,1,21,True,False,False,False,False,1,False,True,False,1,False,True,False,False,0,2,False,False,True,True,False,False,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,4,False,False,True,False,False,divorced
569,31,False,True,False,False,6758,False,False,False,False,True,1,48,True,False,False,False,False,1,False,True,False,3,False,True,False,False,0,1,False,False,True,False,True,False,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2,False,False,False,True,False,divorced
570,23,False,True,False,False,3234,False,False,False,False,True,1,24,False,True,False,False,False,1,False,False,True,4,False,False,False,True,0,1,False,False,True,False,True,False,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,4,False,False,False,True,False,divorced
579,27,False,False,False,True,937,False,False,False,False,True,1,24,False,True,False,False,False,1,False,True,False,4,False,False,False,True,1,2,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,3,False,False,False,True,False,married
588,47,False,True,False,False,1217,False,False,False,False,True,1,18,True,False,False,False,False,1,False,True,False,4,False,False,False,True,0,1,False,False,True,False,True,False,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3,False,False,False,True,False,married
589,60,False,True,False,False,2246,True,False,False,False,False,1,12,False,False,False,True,False,1,False,True,False,3,False,True,False,False,0,2,False,False,True,False,True,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,3,False,False,False,True,False,single
594,40,False,True,False,False,1358,False,False,False,True,False,1,24,False,False,False,True,False,1,False,True,False,4,True,False,False,False,0,1,False,False,True,False,False,True,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,3,False,False,True,False,False,single
625,35,False,False,False,True,1979,False,False,False,False,True,1,15,False,False,False,True,False,1,False,True,False,4,False,True,False,False,1,1,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2,False,False,True,False,False,single
626,41,True,False,False,False,2116,False,False,False,False,True,1,6,True,False,False,False,False,1,False,True,False,2,False,True,False,False,1,1,False,False,True,False,True,False,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,2,False,False,False,True,False,single
641,38,False,False,True,False,1308,False,False,False,False,True,1,15,False,False,False,True,False,1,False,True,False,4,False,False,False,True,1,2,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,4,False,False,False,True,False,single
647,26,False,False,False,True,1386,False,False,False,False,True,1,12,True,False,False,False,False,1,False,True,False,2,False,True,False,False,0,1,False,False,True,False,True,False,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,2,True,False,False,False,False,divorced
651,37,False,False,True,False,1922,False,False,False,False,True,1,12,True,False,False,False,False,1,False,True,False,4,False,False,False,True,0,1,False,False,True,False,True,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2,False,False,False,True,False,single
658,28,False,False,True,False,4221,False,False,True,False,False,1,30,True,False,False,False,False,1,False,True,False,2,False,True,False,False,1,2,False,False,True,False,True,False,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,1,False,False,False,True,False,divorced
664,50,True,False,False,False,1047,True,False,False,False,False,1,6,True,False,False,False,False,1,False,True,False,2,False,False,False,True,1,1,False,False,True,False,True,False,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,4,False,False,False,True,False,divorced
665,27,False,False,False,True,6314,True,False,False,False,False,1,24,False,False,False,False,True,1,False,True,False,4,True,False,False,False,1,2,True,False,False,True,False,False,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,2,False,False,False,True,False,single
680,56,False,False,False,True,1538,False,False,False,False,True,1,6,False,True,False,False,False,1,False,True,False,1,False,True,False,False,1,1,False,False,True,False,True,False,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,2,False,False,False,True,False,divorced
681,37,False,False,False,True,2279,False,False,False,False,True,1,12,True,False,False,False,False,1,True,False,False,4,False,True,False,False,1,1,False,False,True,False,True,False,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,4,False,False,True,False,False,single
686,27,True,False,False,False,1347,True,False,False,False,False,1,10,False,False,True,False,False,1,False,True,False,4,False,True,False,False,1,2,False,False,True,False,True,False,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,False,True,False,False,single
688,35,False,False,False,True,2753,False,False,False,False,True,1,9,False,False,False,True,False,1,False,True,False,3,False,True,False,False,1,1,True,False,False,False,True,False,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,4,False,True,False,False,False,single
690,25,False,True,False,False,975,True,False,False,False,False,1,15,True,False,False,False,False,1,False,True,False,2,False,True,False,False,1,2,False,False,True,False,True,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,3,False,False,False,True,False,divorced
694,28,False,False,False,True,2284,False,False,False,False,True,1,24,False,False,True,False,False,1,False,True,False,4,False,True,False,False,1,1,False,False,True,False,True,False,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2,False,False,False,True,False,single
710,32,False,False,False,True,629,True,False,False,False,False,1,18,False,False,False,True,False,1,False,True,False,4,True,False,False,False,1,2,False,False,True,True,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,3,True,False,False,False,False,single
714,27,False,False,True,False,14027,False,False,False,False,True,1,60,False,False,True,False,False,1,False,True,False,4,True,False,False,False,0,1,False,False,True,False,True,False,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2,False,False,False,True,False,single
736,23,False,False,True,False,11560,False,False,False,False,True,1,24,True,False,False,False,False,1,False,False,True,1,True,False,False,False,0,2,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,4,False,False,False,True,False,divorced
741,23,False,False,True,False,1048,False,False,False,True,False,1,10,True,False,False,False,False,1,False,True,False,4,False,False,False,True,1,1,False,False,True,False,False,True,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,4,False,False,False,True,False,single
742,41,False,False,False,True,3160,False,False,False,False,True,1,21,False,False,False,True,False,1,False,True,False,4,False,True,False,False,1,1,False,False,True,False,True,False,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,3,False,False,True,False,False,single
746,23,False,True,False,False,2511,False,False,False,False,True,1,15,False,False,False,False,True,1,False,False,True,1,False,True,False,False,1,1,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,4,False,False,False,True,False,divorced
756,74,True,False,False,False,1299,True,False,False,False,False,2,6,True,False,False,False,False,0,False,True,False,1,False,False,True,False,1,3,False,False,True,False,True,False,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1,False,False,False,True,False,single
758,31,False,False,False,True,1393,False,False,False,False,True,1,24,True,False,False,False,False,1,False,True,False,2,False,True,False,False,1,1,False,True,False,False,True,False,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,2,False,False,False,True,False,single
777,25,False,True,False,False,3509,False,False,False,False,True,1,18,False,False,True,False,False,1,False,True,False,4,False,True,False,False,1,1,False,True,False,False,True,False,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,False,False,False,True,False,divorced
836,21,False,False,False,True,886,False,False,False,False,True,1,12,True,False,False,False,False,1,False,True,False,4,False,True,False,False,1,1,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2,False,False,True,False,False,divorced
845,35,False,False,True,False,3976,False,False,False,False,True,1,21,False,False,True,False,False,1,False,True,False,2,False,True,False,False,1,1,False,False,True,False,True,False,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,3,False,False,True,False,False,single
846,68,False,False,False,True,6761,False,False,False,False,True,1,18,True,False,False,False,False,1,False,False,True,2,False,True,False,False,0,2,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,4,False,False,True,False,False,single
849,57,False,True,False,False,709,False,False,False,False,True,1,12,False,False,False,True,False,1,False,True,False,4,False,False,False,True,0,1,False,False,True,False,False,True,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,4,False,False,False,True,False,single
850,33,False,True,False,False,2235,True,False,False,False,False,1,20,True,False,False,False,False,0,False,False,True,4,False,True,False,False,0,2,False,True,False,True,False,False,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,2,False,False,False,True,False,married
862,35,False,True,False,False,2439,False,False,False,False,True,1,24,False,True,False,False,False,1,False,True,False,4,False,True,False,False,0,1,False,False,True,False,True,False,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,4,False,False,False,True,False,divorced
864,25,False,False,False,True,2210,False,False,False,False,True,1,10,True,False,False,False,False,1,False,False,True,2,False,False,False,True,0,1,False,False,True,True,False,False,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,2,False,False,False,True,False,single
871,46,True,False,False,False,1343,True,False,False,False,False,2,6,False,False,False,True,False,0,False,True,False,1,False,True,False,False,1,2,False,False,True,False,True,False,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,4,False,False,False,True,False,single
876,36,False,True,False,False,1940,False,False,False,True,False,1,18,False,True,False,False,False,1,True,False,False,3,True,False,False,False,1,1,True,False,False,True,False,False,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,4,False,False,False,True,False,single
893,34,False,False,True,False,5800,True,False,False,False,False,1,36,True,False,False,False,False,1,False,True,False,3,False,True,False,False,1,2,False,False,True,False,True,False,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,4,False,False,False,True,False,single
936,28,True,False,False,False,745,False,False,False,False,True,1,9,True,False,False,False,False,1,False,True,False,3,False,False,False,True,0,1,False,False,True,False,True,False,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2,False,False,False,True,False,divorced
956,49,True,False,False,False,3656,True,False,False,False,False,1,30,False,False,False,True,False,1,False,True,False,4,False,False,False,True,1,2,False,False,True,False,False,True,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,4,False,False,True,False,False,single
961,47,False,False,True,False,2353,False,True,False,False,False,1,21,True,False,False,False,False,1,False,True,False,1,False,True,False,False,1,2,False,False,True,False,True,False,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,4,False,False,False,True,False,divorced
963,35,False,False,False,True,2397,False,False,False,False,True,1,24,False,False,False,True,False,1,False,True,False,3,False,True,False,False,0,2,False,False,True,True,False,False,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2,True,False,False,False,False,single
989,48,False,False,True,False,1743,True,False,False,False,False,1,24,False,False,False,True,False,1,False,True,False,4,False,False,False,True,1,2,False,False,True,False,True,False,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,False,False,True,False,single
996,40,False,True,False,False,3857,False,False,False,False,True,1,30,True,False,False,False,False,1,False,True,False,4,True,False,False,False,1,1,False,False,True,False,True,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,4,False,False,False,True,False,divorced
